Sample,KL,Mdists,Zvals,Peak,Correlation
01120.dpt,2.76339231510909,4.383672820316801,0.1939034631344531,0.1500182276222225,0.85674902392974
01129.dpt,8.497780898177838,15.903825914601235,289.22773304048394,0.003381824373629494,0.7508902945996622
01130.dpt,8.045725326157243,14.806050385803948,206.7605119654915,0.011728092678512492,0.8660302301084523
01131.dpt,11.432418745067853,21.536146840195524,325.89323835644825,0.018628626250332903,0.8829159780544562
01132.dpt,4.38605429994857,7.421086293058565,14.185671923896775,0.03983388347936567,0.8964852044038941
01133.dpt,4.799635175808501,8.325043873904882,37.311471599504465,0.031560932811007025,0.8935367994898573
01134.dpt,4.259151875423916,7.021328733748547,9.19617161220542,0.03708199743225832,0.899002678713666
01135.dpt,3.583784146141084,5.743599996722825,-0.8573941728111504,0.04569644188165639,0.9033153740442199
01136.dpt,2.77158639054703,4.171692306033654,-47.60002873654471,0.06317852317317796,0.8624632477467754
01444.dpt,4.550692832006025,10.79362372753087,645.9357325647702,0.003912889127434371,0.891709518652325
01445.dpt,4.756801902017965,9.550181166367192,-24.691081135600374,0.011227101040811427,0.920378628608377
01446.dpt,3.914436368281756,8.29813025412024,-455.5972522256852,0.017736945072517774,0.9192211068847409
01447.dpt,4.715160073527644,8.462630398436731,378.9028733891239,0.035630951456533055,0.8992139140285837
01448.dpt,3.8348032503552147,6.592517534697696,226.01987789899152,0.03150292228601426,0.9042710446021135
01449.dpt,4.168828825629492,7.09045731264466,81.2746048984402,0.036675916116143126,0.90115867714456
01450.dpt,1.7737006604009897,5.001955608977894,24.847322683504373,0.043442168933619685,0.8903237158622656
01451.dpt,3.1663754621243294,5.183578995014415,7.026102986550602,0.06867961644152892,0.8570744494412857
01452.dpt,3.1095263047103123,4.504079698673182,-21.225491243198043,0.054748220880205645,0.8698463978522106
01453.dpt,2.9538953605229605,4.39081243524923,-18.951202387433426,0.05991196866026277,0.8510745309619131
01454.dpt,4.529548530865483,7.381765370561484,138.99169248103658,0.06867412750907631,0.8435200064005226
01455.dpt,4.290959895502941,7.377298916216025,7.014232148162297,0.08634390652436902,0.7900985203150678
01456.dpt,3.667221547396502,5.967277182920384,86.37506307512825,0.08518912307053073,0.7944441854352988
01457.dpt,3.297038927853297,5.268325938422949,163.64042105388572,0.08843128321432436,0.7869075892689975
01458.dpt,4.5950207486845995,7.931033526859696,83.37571807043014,0.0850847812108032,0.7825640107543557
01459.dpt,3.5310079375066157,6.18697920410903,80.098115457364,0.10088123412391731,0.7694008145539512
01460.dpt,4.8112107675634554,8.622057726725272,79.7204806355076,0.10786334923591734,0.7457469263188021
01387.dpt,4.0490281769795144,9.3630116563259,291.29170883097515,0.0012841009199673348,0.5885262686238296
01388.dpt,5.8677978576125795,10.242382911861815,1965.9047424483272,0.006508988399474044,0.8615907158937629
01389.dpt,4.395452283482246,8.172104163010316,694.3216982599424,0.01781173416152959,0.9277354311193836
01390.dpt,3.8229713460330252,6.2145475127028105,-60.67331513763396,0.0327659319913052,0.9279984885114764
01391.dpt,4.957932019860165,14.549235723473371,-353.3940411348947,0.0019512505039940287,0.10590179442453553
01392.dpt,4.287465036267524,11.039601268092424,313.4499522795349,0.0013736044383223754,0.6844549508073956
01393.dpt,6.123603303678836,16.44746225162772,466.52064557521646,0.0020076859786003383,0.6982183100027983
01394.dpt,1.8896207581490603,7.748923886989653,33.15164716206362,0.003627522221676194,0.8322382083055906
01395.dpt,4.027611132913402,7.884976364161736,327.8872230095103,0.0032498188206508006,0.846165239029071
01396.dpt,1.8868822732163644,6.53673476341811,-239.28488724187136,0.0036577693765260785,0.8532375967030262
01397.dpt,4.443933029718639,8.27938536590591,1583.7040528006842,0.004609475776615607,0.856661305765711
